CarType,Charge,Grids,Memo,Name,Period,Range,Region,id
C,20元/時，大型車加倍,0,,力行路,每日08:00~18:00,進化路~雙十路,東、北區,1
C,20元/時，大型車加倍,0,,三民西路,週一至週六08:00~18:00,自由路~東興路,西、南、南屯區,2
C,20元/時，大型車加倍,0,,三民路,每日08:00~20:00,健行路~崇德路,北區,3
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,三民路,每日08:00~20:00,崇德路~太平路,北區,4
C,20元/時，大型車加倍,0,,三民路,每日08:00~20:00,太平路~公園路,北區,5
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,三民路,每日08:00~18:00,公園路~臺灣大道,中區,6
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,三民路,每日08:00~18:00,臺灣大道~民權路,中區,7
C,20元/時，大型車加倍,0,,三民路,週一至週六08:00~18:00,民權路~林森路,西區,8
C,20元/時，大型車加倍,0,,三民路,週一至週六08:00~18:00,林森路~復興路,西、南區,9
C,20元/時，大型車加倍,0,,三光一街,週一至週六08:00~18:00,三光北二街~三光北一街,北屯區,10
C,20元/時，大型車加倍,0,,三光巷,週一至週六08:00~18:00,太原路~北祥街,北屯區,11
C,20元/時，大型車加倍,0,,三和街,每日08:00~20:00,河南路~永春東七路,南屯區,12
C,20元/時，大型車加倍,0,,三厝街,每日08:00~20:00,五權西路~大墩十二街,南屯區,13
C,20元/時，大型車加倍,0,,三厝街,每日08:00~20:00,公益路~干城街,南屯區,14
C,20元/時，大型車加倍,0,,上安北街,每日08:00~20:00,上安路~福科二路,西屯區,15
C,差別費率，15元/三十分鐘，大型車加倍,0,,上安路,每日08:00~20:00,河南路~黎明路,西屯區,16
C,20元/時，大型車加倍,0,,上安路,每日08:00~20:00,黎明路~青海南街,西屯區,17
C,20元/時，大型車加倍,0,,上墩路,每日08:00~20:00,黎明路~福星西路,西屯區,18
C,20元/時，大型車加倍,0,,大公街,週一至週六08:00~18:00,建成路~和平街,東區,19
C,20元/時，大型車加倍,0,,大忠南街,每日08:00~18:00,福人街~五權西路,西區,20
C,20元/時，大型車加倍,0,,大忠南街,週一至週六08:00~18:00,五權西路~三民西路,西、南區,21
C,20元/時，大型車加倍,0,,大忠街,每日08:00~18:00,華美西街~精誠三十一街,西區,22
C,20元/時，大型車加倍,0,,大明街,週一至週六08:00~18:00,民生路~自立街,西區,23
C,20元/時，大型車加倍,0,,大信街,每日08:00~20:00,漢口路~寧夏路89巷,西屯區,24
C,20元/時，大型車加倍,0,,大勇街,週一至週六08:00~18:00,信義街~立德街67巷,東區,25
C,20元/時，大型車加倍,0,,大英街,每日08:00~20:00,大墩十一街~公益路,南屯區,26
C,20元/時，大型車加倍,0,,大容東(西)街,每日08:00~18:00,臺灣大道~文心路,西屯、南屯區,27
C,差別費率，15元/三十分鐘，大型車加倍,0,,大恩街,每日08:00~20:00,大墩十九街~大隆路,西屯區,28
C,20元/時，大型車加倍,0,,大連路,每日08:00~20:00,遼寧路~河北路,北屯區,29
C,20元/時，大型車加倍,0,,大智路,週一至週六08:00~18:00,建成路~東光園路,東區,30
C,20元/時，大型車加倍,0,,大智路,週一至週六08:00~18:00,亞洲街~益民路,大里區,31
C,20元/時，大型車加倍,0,,大進街,每日08:00~20:00,向上南路~向上路,西區,32
C,20元/時，大型車加倍,0,,大進街,每日08:00~20:00,向上路~大墩十一街,南屯、西區,33
C,20元/時，大型車加倍,0,,大進街,每日08:00~20:00,大業路~大隆路,南屯區,34
C,累進費率，以三十分鐘計費，大型車加倍,0,,大隆路,每日08:00~20:00,精誠路~東興路,西區,35
C,差別費率，15元/三十分鐘，大型車加倍,0,,大隆路,每日08:00~20:00,東興路~大墩路,西屯、南屯區,36
C,差別費率，15元/三十分鐘，大型車加倍,0,,大隆路,每日08:00~20:00,大墩路~文心路,西屯區,37
C,20元/時，大型車加倍,0,,大新街、三民路116巷,週一至週六08:00~18:00,自由路~大全街,西區,38
C,20元/時，大型車加倍,0,,大業北路,每日08:00~18:00,大業路~東興路,西區,39
C,差別費率，15元/三十分鐘，大型車加倍,0,,大業路,每日08:00~20:00,精誠路~文心路,西、南屯區,40
C,20元/時，大型車加倍,0,,大業路,每日08:00~20:00,文心路~黎明路,南屯區,41
C,20元/時，大型車加倍,0,,大業路,每日08:00~20:00,黎明路~博愛街,南屯區,42
C,20元/時，大型車加倍,0,,大誠街,每日08:00~18:00,公園路~臺灣大道,中區,43
C,20元/時，大型車加倍,0,,大誠街49巷、中華路1段182巷,每日08:00~18:00,大誠街~中華路,中區,44
C,20元/時，大型車加倍,0,,大墩七街,每日08:00~20:00,文心路~惠文路,南屯區,45
C,20元/時，大型車加倍,0,,大墩七街,每日08:00~20:00,惠文路~河南路,南屯區,46
C,20元/時，大型車加倍,0,,大墩二十街,每日08:00~20:00,東興路~大墩路,西屯區,47
C,20元/時，大型車加倍,0,,大墩二街,週一至週六08:00~18:00,精誠路~東興路,南屯區,48
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,精誠路~文心路,西、南屯區,49
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,文心路~惠文路,南屯區,50
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,惠文路~黎明路,南屯區,51
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,黎明路~永春東七路,南屯區,52
C,20元/時，大型車加倍,0,,大墩十一街,每日08:00~20:00,永春東七路~文心南五路,南屯區,53
C,20元/時，大型車加倍,0,,大墩十九街,每日08:00~20:00,東興路~大安街,西屯區,54
C,20元/時，大型車加倍,0,,大墩十九街,每日08:00~20:00,大容西街~文心路,西屯區,55
C,20元/時，大型車加倍,0,,大墩十二街,每日08:00~20:00,大墩路~文心路,南屯區,56
C,20元/時，大型車加倍,0,,大墩十二街,每日08:00~20:00,文心路~惠文路,南屯區,57
C,20元/時，大型車加倍,0,,大墩十二街,每日08:00~20:00,永春東七路~文心南五路,南屯區,58
C,20元/時，大型車加倍,0,,大墩十街,每日08:00~20:00,大墩路~惠文路,南屯區,59
C,20元/時，大型車加倍,0,,大墩五街,每日08:00~20:00,東興路~文心路,南屯區,60
C,20元/時，大型車加倍,0,,大墩六街,每日08:00~20:00,文心路~惠中路,南屯區,61
C,20元/時，大型車加倍,0,,大墩四街,每日08:00~18:00,精誠路~東興路,南屯區,62
C,20元/時，大型車加倍,0,,大墩四街,每日08:00~20:00,文心路~惠中路,南屯區,63
C,20元/時，大型車加倍,0,,大墩南路,週一至週六08:00~18:00,南屯路~文心南七路,南屯區,64
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,臺灣大道~大隆路,西屯區,65
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,大隆路~大業路,西屯、南屯區,66
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,大業路~公益路,南屯區,67
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,公益路~向上路,南屯區,68
C,差別費率，15元/三十分鐘，大型車加倍,0,,大墩路,每日08:00~20:00,向上路~五權西路,西、南屯區,69
C,20元/時，大型車加倍,0,,大墩路,週一至週六08:00~18:00,五權西路~南屯路,南屯區,70
C,20元/時，大型車加倍,0,,大慶街,週一至週六08:00~18:00,復興北路~建國南路,南區,71
C,20元/時，大型車加倍,0,,大興街,週一至週六08:00~18:00,東光園路~建成路,東區,72
C,20元/時，大型車加倍,0,,大鵬路,每日08:00~18:00,中清路~中平路,西屯區,73
C,20元/時，大型車加倍,0,,大觀路,每日08:00~20:00,向上路~大業路,南屯區,74
C,20元/時，大型車加倍,0,,山西路,每日08:00~20:00,大連路~太原路,北、北屯區,75
C,20元/時，大型車加倍,0,,工業區一路,每日08:00~18:00,臺灣大道~天助街,西屯區,76
C,20元/時，大型車加倍,0,,工學二街,週一至週六08:00~18:00,忠明南路~工學路,南區,77
C,20元/時，大型車加倍,0,,工學六街,週一至週六08:00~18:00,工學路~高工路,南區,78
C,20元/時，大型車加倍,0,,工學北路,週一至週六08:00~18:00,忠明南路~文心南路,南區,79
C,20元/時，大型車加倍,0,,工學路,週一至週六08:00~18:00,工學一街~復興路,南區,80
C,20元/時，大型車加倍,0,,干城街,週一至週六08:00~18:00,黎明路~黎明路,南屯區,81
C,累進費率，以三十分鐘計費，大型車加倍,0,,中山路,每日08:00~18:00,建國路~綠川西街,中區,82
C,累進費率，以三十分鐘計費，大型車加倍，停車30分鐘內離場不收費（每日限一次）,0,,中山路,每日08:00~18:00,綠川西街~市府路,中區,83
C,20元/時，大型車加倍,0,,中山路,每日08:00~18:00,市府路~三民路,中區,84
C,20元/時，大型車加倍,0,,中山路,每日08:00~18:00,三民路~中華路,中區,85
C,20元/時，大型車加倍,0,,中山路2段283巷,週一至週六08:00~18:00,中山路~興華二路,潭子區,86
C,20元/時，大型車加倍,0,,中山路2段391巷,週一至週六08:00~18:00,中山路~興華一路,潭子區,87
C,20元/時，大型車加倍,0,,中山路-豐原,週一至週六08:00~18:00,中正路~圓環南路,豐原區,88
C,20元/時，大型車加倍,0,,中工二路,每日08:00~18:00,天佑街~水尾巷,西屯區,89
